star,Verfied_Audience_Comment,label
3.5,"a movie that is carried by its two charismatic leads, and idris elba as well.",0
3.5,"if your an action person this is for you. pure adrenaline rush. from its opening action sequence to its physics breaking finale hobbs and shaw is a summer blockbuster at its finest. the rock is great no matter what and here he gets to punch plenty of dudes and look awesome doing it, wheras mr. statham gets to take some dudes out with agility and speed. i loved the back and forth banter between them as the film progressed and you can tell they really started to bond. as for the women boy do they get to shine , vanessa kirby kicks ass and not just one but plenty , she holds her own against the muscles. eiza once again sidelined but its great to see her in a blockbuster again. it be great if wb casts as her catwoman. idris elba does what he does best just takes names and looks great doing it , while i wasnt a huge fan of his arc im still glad they went with it no matter how insane it was. overall hobbs and shaw go check it out if you want to see non stop action for two hours , it goes by in a breeze.",0
0.5,"wow, how did this get into the movie theaters describing this as a movie isnt fair to those who actual put time and effort into making movies. im very unhappy that i paid 3.99 to see this.",-1
4.0,"cool action and story, great summer blockbuster",1
4.0,lots of fun dialogand great action. ill gladly watch any sequels!,1
3.5,"is it stupid, and kind of formulaic? absolutely. is it some of the most fun ive had at the movie theater all year long? absolutely.",0
5.0,this movie was great. the two main actors fantastic with there wit and charm. guest stars were a great addition. hope they make another movie with these 2.,1
3.5,not enough to the story line,0
5.0,"action, comedy, and hot woman that can kiss ss.",1
5.0,looking forward to the next ff...,1
5.0,"heart pounding action, actually had to go to the hospital after only watching the first 20 minutes of the film, would definitely recommend",1
5.0,great movie. plenty of action,1
5.0,loved the action and underline family story,1
3.0,its...ok. not great. not terrible. a little boring at times.,0
4.5,great action packed movie.,1
4.5,good will always overcome evil!,1
5.0,funny and action the whole time.,1
5.0,the movie was funny and full of action.,1
5.0,i found the movie entertaining and funny. it kept my attention throughout the movie.,1
5.0,"for the girls, fun banter and likable characters plus great cameo appearances for the guys, tons of action, car chases, violence and the fun banter too.",1
4.0,everything you expect from a fast and furious movie and nothing you dont expect. action packed fun,1
4.0,second time watching it. i love fast and furious movies,1
4.5,dwayne and jason are awesome together and play off each other well. the action has good pacing and keeps the movie moving along to the happy ever after ending.,1
4.0,"i had low expectations, but man was i entertained the entire time. this movie was action packed and hilarious. maybe i will let my 11 year old pick the movie more often. and who doesnt want to watch the rock for 2 hours without his shirt on ",1
4.5,i luv the action n the movie im still talking about it.,1
3.5,started slow for a fast movie but overall pretty good and well done ending,0
5.0,i loved it it was amazing,1
5.0,good action. i thought the movie provided a exciting story line involving all 3 main characters. its a gotta have for the dvd file. looking forward to the sequel.,1
5.0,a great mixture of banter and cliche epic moments,1
5.0,the action was great,1
5.0,excellent movie! i love the graphics the action packedcomedypositive message.,1
3.0,didnt like seeing a 125lb character beating up 300lb trained gorillas n tossing em around. b.s. !!,0
3.5,great action and cgi. predictable plot.,0
5.0,great action good story,1
4.0,"even from a series thats known to go over the top, this movies goes well beyond that. johnson and statham have great chemistry even if the quips back and forth get a little old because its the same one or two things over and over. in the end its a great action flick with some great surprise cameos.",1
4.0,"it was a very enjoyable movie. actionpacked and full of great characters and performances. along with the action, the movie had good humor that blends well with the characters. as the movie progresses, the characters have an interesting chemistry between them that grows exponentially which makes the movie more fun. among the other fast and furious films, hobbs and shaw definitely stands out as its own film. would recommend to anyone even if they havent seen the other fast and furious movies, and are just looking for an enjoyable film.",1
3.0,"great action sequences, but so much going on we decided we should have sat farther back in the theater so we could see everything! dialogue and jokes were sometimes funny, but a lot seemed forced and if you havent seen game of thrones, you wont understand some of the funniest jokes!",0
5.0,this movie had so much action and humor. my 9 years old and i enjoyed it.,1
5.0,"action, tons of laughs...cant go wrong with the rock and jason statham.",1
4.0,fun and lots of action but about 20 minutes of too much filler material.,1
5.0,just a great funnyaction movie! super worth to watch !,1
5.0,lots of action with just the right amount of comedy. looking forward to the sequel!,1
5.0,great movie...funny and serious at the same time 1010,1
5.0,"they always make a great team. adventure, action  the right amount of comedy!",1
4.0,the language at the start,1
5.0,one of the best movies ive seen in a very long time!!,1
5.0,me and my granddaughter had a great time. the theater was clean quiet and relaxing. thanks so much,1
5.0,funnier and more exciting than i expected. great fun.,1
5.0,i loved this movie so much the first time that i came to see it again with a friend for girls night! gorgeous hot men in this movie. we both thought it was awesome!,1
5.0,a great watch. action filled  hilarious! will definitely watch again  again.,1
4.0,had a few as expected cheesy moments but overall pretty hilarious and entertaining. the eye candy was delicious!,1
4.5,amazing crazy action and hilarious! will probably end up seeing it 10 times!,1
5.0,i loved every single bit of it. one of my favorite part is when they tried to break in the biotech place. i cant say much more or i will give away to much! but it is a must see and i cant wait to own it on dvd,1
3.0,"story was ok, just shut off your brain and enjoy the action.",0
5.0,"loved it! it was actionpacked all the way through, was funny, and the story was great as well. this is one i would purchase.",1
5.0,lots of action thru the entire movie.,1
4.5,actionpacked from the beginning to the very end. would have enjoyed to see more of the samoan culture.,1
5.0,it was a good flick. loved all the action,1
5.0,loved it! so funny and great action. ill be buying it!,1
4.5,i liked that it wasnt all muscle shotem up movie i liked the humor throughout ,1
4.0,good action and plot,1
5.0,"it was a great movie , youll realy like this one",1
5.0,"i loved the movie, but then i love dwayne johnson, jason statham, and idris elba too so thats always a plus! the movie had everything from action, drama, and comedy, and the actors were fantastic in bringing it all to the big screen. i wonder if part 2 is in the works? i would definitely go to see it.",1
3.5,the rock has saturated the market...theres too much of him but the movie had good fight  camera scenes  action.,0
3.0,language was a little rough,0
3.0,it was entertaining but just not that interesting,0
4.5,nonstop action  dwayne  jason at their best,1
4.0,typical fast  furious action with the rocks winning personality!,1
5.0,movie was great. not for kids under 16. love the family 1st theme.,1
5.0,"the action and banter was totally entertainment central for me. yes, yes....quite a bit we all know unbelievable and downright impossible but thats why we movie theres enough up close and authentically personal on a day to day....so, hobbs, shaw and edris......kisses and hugs....men, you fed my expectations! yummy!",1
4.0,"i liked it, was very good movie, family always",1
5.0,excellent movie lots of action thrills great movie,1
4.5,action packed and hilarious!,1
5.0,we loved the humor and the action.,1
5.0,there wasnt anything i disliked i will buy it just like all the fast and furious movies since they are all great movies,1
5.0,we snuck into it 2 lol,1
2.0,"didnt enjoy the movie at all, left after an hour, couldnt get m mind into it.",-1
3.0,"it was a good movie, but not like the fast and the furious movies. funny, entertaining and good, but it had nothing to do with fast and furious.",0
3.5,"i went to go see fast and furious, but they messed around and made a marvel movie! it was fun though",0
5.0,loved everything about this movie! especially the rock without his shirt on. lol!,1
