star,Verfied_Audience_Comment,label
3.5,"A movie that is carried by its two charismatic leads, and Idris Elba as well.",0
3.5,"If your an action person this is for you. Pure adrenaline rush. From it's opening action sequence to it's physics breaking finale Hobbs and Shaw is a summer blockbuster at it's finest. The Rock is great no matter what and here he gets to punch plenty of dudes and look awesome doing it, wheras Mr. Statham gets to take some dudes out with agility and speed. I loved the back and forth banter between them as the film progressed and you can tell they really started to bond. As for the women boy do they get to shine , Vanessa kirby kicks ass and not just one but plenty , she holds her own against the muscles. Eiza once again sidelined but it's great to see her in a blockbuster again. It be great if wb casts as her catwoman. Idris Elba does what he does best just takes names and looks great doing it , while I wasn't a huge fan of his arc i'm still glad they went with it no matter how insane it was. Overall Hobbs and Shaw go check it out if you want to see non stop action for two hours , it goes by in a breeze.",0
0.5,"Wow, how did this get into the movie theaters describing this as a movie isn’t fair to those who actual put time and effort into making movies. I’m very unhappy that I paid $3.99 to see this.",-1
4.0,"Fun movie, very entertaining.",1
4.0,"cool action and story, great summer blockbuster",1
4.0,Lots of fun dialogand great action. I'll gladly watch any sequels!,1
3.5,"Is it stupid, and kind of formulaic? Absolutely. Is it some of the most fun I've had at the movie theater all year long? Absolutely.",0
5.0,This movie was great. The two main actors fantastic with there wit and charm. Guest stars were a great addition. Hope they make another movie with these 2.,1
3.5,Not enough to the story line,0
5.0,"Action, comedy, and hot woman that can kiss ss.",1
5.0,Looking forward to the next F&F...,1
5.0,"Heart pounding action, actually had to go to the hospital after only watching the first 20 minutes of the film, would definitely recommend",1
5.0,Great movie. Plenty of action,1
5.0,Loved the action and underline family story,1
3.0,Its...OK. Not great. Not terrible. A little boring at times.,0
4.5,Great action packed movie.,1
4.5,Good will always overcome evil!,1
5.0,Funny and action the whole time.,1
5.0,The movie was funny and full of action.,1
5.0,I found the movie entertaining and funny. It kept my attention throughout the movie.,1
5.0,"For the girls, fun banter and likable characters plus great cameo appearances for the guys, tons of action, car chases, violence and the fun banter too.",1
4.0,Everything you expect from a Fast and Furious movie and nothing you dont expect. Action packed fun,1
4.0,Second time watching it. I love Fast and Furious movies,1
4.5,Dwayne and Jason are awesome together and play off each other well. The action has good pacing and keeps the movie moving along to the happy ever after ending.,1
4.0,"I had low expectations, but man was I entertained the entire time. This movie was action packed and hilarious. Maybe I will let my 11 year old pick the movie more often. AND who doesn't want to watch the Rock for 2 hours without his shirt on 😉",1
4.5,I luv the action n the movie I’m still talking about it.,1
3.5,Started slow for a Fast movie but overall pretty good and well done ending,0
5.0,i loved it it was amazing,1
5.0,Good action. I thought the movie provided a exciting story line involving all 3 main characters. it's a gotta have for the DVD file. looking forward to the sequel.,1
5.0,A great mixture of banter and cliche epic moments,1
5.0,The action was great,1
5.0,Excellent Movie! I love the graphics the action packed/comedy/positive message.,1
3.0,Didn’t like seeing a 125lb character beating up 300lb trained gorillas ‘n tossing ‘em around. B.S. !!,0
3.5,great action and cgi. predictable plot.,0
5.0,Great action- good story,1
4.0,"Even from a series that's known to go over the top, this movies goes well beyond that. Johnson and Statham have great chemistry even if the quips back and forth get a little old because it's the same one or two things over and over. In the end it's a great action flick with some great surprise cameos.",1
4.0,"It was a very enjoyable movie. Action-packed and full of great characters and performances. Along with the action, the movie had good humor that blends well with the characters. As the movie progresses, the characters have an interesting chemistry between them that grows exponentially which makes the movie more fun. Among the other Fast and Furious films, Hobbs and Shaw definitely stands out as it's own film. Would recommend to anyone even if they haven't seen the other Fast and Furious movies, and are just looking for an enjoyable film.",1
3.0,"Great action sequences, but so much going on we decided we should have sat farther back in the theater so we could see everything! Dialogue and jokes were sometimes funny, but a lot seemed forced and if you havent seen Game of Thrones, you wont understand some of the funniest jokes!",0
5.0,This movie had so much action and humor. My 9 years old and I enjoyed it.,1
5.0,"Action, tons of laughs...cant go wrong with the rock and Jason statham.",1
4.0,Fun and lots of action but about 20 minutes of too much filler material.,1
5.0,Just a great funny/action movie! Super worth to Watch !,1
5.0,Lots of action with just the right amount of comedy. Looking forward to the sequel!,1
5.0,Great movie...Funny and Serious at the same time 10/10,1
5.0,"They always make a great team. Adventure, Action & the right amount of comedy!",1
4.0,The language at the start,1
5.0,One of the best movies Ive seen in a VERY long time!!,1
5.0,Me and my granddaughter had a great time. The theater was clean quiet and relaxing. Thanks so much,1
5.0,Funnier and more exciting than I expected. Great fun.,1
5.0,I loved this movie so much the first time that I came to see it again with a friend for girl's night! Gorgeous hot men in this movie. We both thought it was awesome!,1
5.0,A great watch. Action filled & hilarious! Will definitely watch again & again.,1
4.0,Had a few (as expected) cheesy moments but overall pretty hilarious and entertaining. The eye candy was delicious!,1
4.5,Amazing crazy action and hilarious! Will probably end up seeing it 10+ times!,1
5.0,I loved every single bit of it. One of my favorite part is when they tried to break in the biotech place. I cant say much more or i will give away to much! But it is a must see and i can't wait to own it on DVD,1
3.0,"Story was ok, just shut off your brain and enjoy the action.",0
5.0,"Loved it! It was action-packed all the way through, was funny, and the story was great as well. This is one I would purchase.",1
5.0,Lots of action thru the entire movie.,1
4.5,Action-packed from the beginning to the very end. Would have enjoyed to see more of the Samoan culture.,1
5.0,it was a good flick. loved all the action,1
5.0,Loved it! So funny and great action. I’ll be buying it!,1
4.5,I liked that it wasn’t all muscle shotem’ up movie I liked the humor throughout 😂👍🏼👍🏼,1
4.0,Good action and plot,1
5.0,"it was a great movie , youll realy like this one",1
5.0,"I loved the movie, but then I love Dwayne Johnson, Jason Statham, and Idris Elba too so that's always a plus! The movie had everything from action, drama, and comedy, and the actors were fantastic in bringing it all to the big screen. I wonder if Part 2 is in the works? I would definitely go to see it.",1
3.5,The Rock has saturated the market...there's too much of him but the movie had good fight & camera scenes & action.,0
3.0,language was a little rough,0
3.0,It was entertaining but just not that interesting,0
4.5,Non-stop action - Dwayne & Jason at their best,1
4.0,Typical Fast & Furious action with the Rock's winning personality!,1
5.0,Movie was great. Not for kids under 16. Love the family 1st theme.,1
5.0,"The action and banter was totally entertainment central for me. Yes, yes....quite a bit we all know unbelievable and downright impossible But that's why we ""movie"" Theres enough up close and authentically personal on a day to day....so, Hobbs, Shaw and Edris......Kisses and Hugs....Men, you fed my expectations! Yummy!",1
4.0,"I liked it, was very good movie, family always",1
5.0,Excellent movie lots of action thrills great movie,1
4.5,Action packed and hilarious!,1
5.0,We loved the humor and the action.,1
5.0,There wasn't anything I disliked I will buy it just like all the Fast and Furious movies since they are all great movies,1
